opportunity_id,account_id,originating_lead_id,owner_rep_id,created_at,close_date,stage,amount,is_closed,is_won,is_closed_lost,opportunity_source,lead_source,region,territory_id,segment,industry,sales_cycle_days,loss_reason_id,loss_reason,loss_reason_category,controllable_loss_flag,days_in_stage,activity_count,days_since_last_activity,next_step_exists,operational_risk_score
OPP_000001,ACC_001106,LEAD_002505,REP_AMER_MM_04,2024-12-07,2025-02-21,Closed Lost,139000,1,0,1,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Public Sector,76,LR_SLOW_FOLLOW_UP,Slow follow-up,Operational,1,0,13,4,0,2
OPP_000002,ACC_001952,LEAD_000385,REP_AMER_COMM_02,2025-06-01,2025-07-02,Closed Won,69000,1,1,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Healthcare,31,,,,,1,14,1,0,1
OPP_000003,ACC_002161,LEAD_004131,REP_UKI_03,2024-03-06,2024-05-22,Closed Won,199000,1,1,0,converted_mql,Demo Request,EMEA,UKI,Mid-Market,Manufacturing,77,,,,,1,7,5,0,1
OPP_000004,ACC_001264,LEAD_007990,REP_AMER_COMM_08,2024-03-06,2024-05-31,Closed Won,638000,1,1,0,converted_mql,Demo Request,AMER,AMER_ENT,Enterprise,Technology,86,,,,,2,9,3,0,1
OPP_000005,ACC_002070,LEAD_005305,REP_SEA_01,2024-10-13,2024-11-18,Closed Won,102000,1,1,0,converted_mql,Demo Request,APJ,SEA,Mid-Market,Healthcare,36,,,,,0,13,2,0,1
OPP_000006,ACC_000220,LEAD_006738,REP_ANZ_02,2024-06-03,2024-08-25,Closed Won,140000,1,1,0,converted_mql,Demo Request,APJ,ANZ,Mid-Market,Technology,83,,,,,1,14,2,0,1
OPP_000007,ACC_000827,LEAD_008063,REP_AMER_MM_03,2025-02-17,,Negotiation,285000,0,0,0,converted_mql,Demo Request,AMER,AMER_MM,Mid-Market,Telecommunications,,,,,,14,8,1,0,2
OPP_000008,ACC_001255,LEAD_011245,REP_ANZ_01,2024-09-27,2024-11-23,Closed Won,219000,1,1,0,converted_mql,Demo Request,APJ,ANZ,Mid-Market,Energy,57,,,,,0,8,2,0,1
OPP_000009,ACC_002169,LEAD_008626,REP_DACH_02,2024-08-17,2024-09-24,Closed Lost,36000,1,0,1,converted_mql,Demo Request,EMEA,DACH,Commercial,Technology,38,LR_SLOW_FOLLOW_UP,Slow follow-up,Operational,1,1,7,5,0,2
OPP_000010,ACC_001801,LEAD_003606,REP_AMER_COMM_07,2024-04-01,,Demo,74000,0,0,0,converted_mql,Demo Request,AMER,AMER_COMM,Commercial,Financial Services,,,,,,31,8,6,1,1
OPP_000011,ACC_001258,LEAD_009764,REP_UKI_03,2024-11-23,2025-02-02,Closed Lost,170000,1,0,1,converted_mql,Partner Referral,EMEA,UKI,Mid-Market,Technology,71,LR_COMPETITOR_SELECTED,Competitor selected,Competitive,0,0,7,0,0,3
OPP_000012,ACC_001804,LEAD_010010,REP_JPKR_03,2024-02-19,2024-03-15,Closed Won,46000,1,1,0,converted_mql,Demo Request,APJ,JAPAN_KOREA,Commercial,Technology,25,,,,,2,7,6,0,1
OPP_000013,ACC_000838,LEAD_005530,REP_NORDICS_01,2024-07-17,2024-09-15,Closed Won,231000,1,1,0,converted_mql,Demo Request,EMEA,NORDICS,Mid-Market,Technology,60,,,,,1,7,1,0,2
