ticket_id,created_at,resolved_at,ticket_category,priority,requester_role,initial_team_selected,final_owner_team,triage_method,ai_confidence_score,reassignment_required,reassignment_delay_hours,hours_to_first_action,hours_to_resolution,sla_policy_id,sla_target_hours,sla_due_at,sla_met,sla_breached,post_ai_launch
TICK_000001,2024-01-25 10:41:00,2024-01-27 12:47:00,territory_assignment,P3,sales_ops,Sales Ops,Sales Ops,manual_picklist,,0,0.0,1.8,50.1,SLA_TERRITORY_ASSIGNMENT_P3,72,2024-01-28 10:41:00,1,0,0
TICK_000002,2024-07-31 01:05:00,2024-07-31 18:17:00,user_access,P2,customer_success,CRM Eng,CRM Eng,manual_picklist,,0,0.0,1.9,17.2,SLA_USER_ACCESS_P2,24,2024-08-01 01:05:00,1,0,0
TICK_000003,2024-06-28 08:45:00,2024-06-28 21:33:00,automation_bug,P1,sales_rep,Order Ops,CRM Eng,manual_picklist,,1,9.9,5.1,12.8,SLA_AUTOMATION_BUG_P1,4,2024-06-28 12:45:00,0,1,0
TICK_000004,2024-04-30 06:06:00,2024-04-30 21:24:00,territory_assignment,P2,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,5.1,15.3,SLA_TERRITORY_ASSIGNMENT_P2,24,2024-05-01 06:06:00,1,0,0
TICK_000005,2024-04-28 15:03:00,2024-05-04 05:33:00,lead_routing,P4,sales_rep,CRM Eng,Sales Ops,manual_picklist,,1,26.7,27.9,134.5,SLA_LEAD_ROUTING_P4,120,2024-05-03 15:03:00,0,1,0
TICK_000006,2024-08-23 06:06:00,2024-08-25 21:12:00,data_quality,P2,customer_success,CRM Eng,Sales Ops,manual_picklist,,1,20.7,11.8,63.1,SLA_DATA_QUALITY_P2,24,2024-08-24 06:06:00,0,1,0
TICK_000007,2024-01-24 13:27:00,2024-01-28 03:21:00,automation_bug,P3,sales_development,CRM Eng,CRM Eng,manual_picklist,,0,0.0,4.6,85.9,SLA_AUTOMATION_BUG_P3,72,2024-01-27 13:27:00,0,1,0
TICK_000008,2024-07-10 01:37:00,2024-07-13 19:37:00,user_access,P4,sales_ops,CRM Eng,CRM Eng,manual_picklist,,0,0.0,4.8,90.0,SLA_USER_ACCESS_P4,120,2024-07-15 01:37:00,1,0,0
TICK_000009,2024-02-25 04:24:00,2024-02-27 08:30:00,user_access,P3,sales_rep,CRM Eng,CRM Eng,manual_picklist,,0,0.0,4.2,52.1,SLA_USER_ACCESS_P3,72,2024-02-28 04:24:00,1,0,0
TICK_000010,2024-01-26 19:07:00,2024-02-01 03:01:00,opportunity_update,P4,sales_manager,Order Ops,Sales Ops,manual_picklist,,1,4.7,17.9,127.9,SLA_OPPORTUNITY_UPDATE_P4,120,2024-01-31 19:07:00,0,1,0
TICK_000011,2024-05-24 06:11:00,2024-05-30 17:59:00,territory_assignment,P4,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,14.9,155.8,SLA_TERRITORY_ASSIGNMENT_P4,120,2024-05-29 06:11:00,0,1,0
TICK_000012,2024-09-24 07:51:00,2024-09-30 05:39:00,reporting_request,P4,sales_rep,CRM Eng,Sales Ops,manual_picklist,,1,8.7,22.8,141.8,SLA_REPORTING_REQUEST_P4,120,2024-09-29 07:51:00,0,1,0
TICK_000013,2024-07-20 14:57:00,2024-07-22 11:51:00,territory_assignment,P2,sales_rep,Order Ops,Sales Ops,manual_picklist,,1,21.7,13.3,44.9,SLA_TERRITORY_ASSIGNMENT_P2,24,2024-07-21 14:57:00,0,1,0
TICK_000014,2024-07-27 13:45:00,2024-07-27 23:57:00,user_access,P2,sales_manager,CRM Eng,CRM Eng,manual_picklist,,0,0.0,1.3,10.2,SLA_USER_ACCESS_P2,24,2024-07-28 13:45:00,1,0,0
TICK_000015,2024-07-15 14:06:00,2024-07-18 16:48:00,territory_assignment,P4,sales_ops,Sales Ops,Sales Ops,manual_picklist,,0,0.0,28.0,74.7,SLA_TERRITORY_ASSIGNMENT_P4,120,2024-07-20 14:06:00,1,0,0
TICK_000016,2024-08-03 09:49:00,2024-08-08 00:19:00,account_ownership,P4,marketing_ops,Order Ops,Sales Ops,manual_picklist,,1,26.8,22.9,110.5,SLA_ACCOUNT_OWNERSHIP_P4,120,2024-08-08 09:49:00,1,0,0
TICK_000017,2024-05-20 14:41:00,2024-05-24 18:59:00,data_quality,P4,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,11.1,100.3,SLA_DATA_QUALITY_P4,120,2024-05-25 14:41:00,1,0,0
TICK_000018,2024-02-05 02:31:00,2024-02-05 17:01:00,data_quality,P1,sales_manager,Order Ops,Sales Ops,manual_picklist,,1,8.7,4.3,14.5,SLA_DATA_QUALITY_P1,4,2024-02-05 06:31:00,0,1,0
TICK_000019,2024-08-18 02:08:00,2024-08-18 11:14:00,forecasting_support,P2,sales_rep,Sales Ops,Sales Ops,manual_picklist,,0,0.0,1.9,9.1,SLA_FORECASTING_SUPPORT_P2,24,2024-08-19 02:08:00,1,0,0
TICK_000020,2024-05-03 09:59:00,2024-05-05 00:59:00,data_quality,P2,sales_manager,Order Ops,Sales Ops,manual_picklist,,1,16.5,11.2,39.0,SLA_DATA_QUALITY_P2,24,2024-05-04 09:59:00,0,1,0
TICK_000021,2024-05-17 02:26:00,2024-05-18 03:32:00,quote_order_issue,P3,sales_ops,Order Ops,Order Ops,manual_picklist,,0,0.0,1.9,25.1,SLA_QUOTE_ORDER_ISSUE_P3,72,2024-05-20 02:26:00,1,0,0
TICK_000022,2024-04-11 14:02:00,2024-04-12 06:32:00,field_sync_issue,P2,sales_rep,CRM Eng,CRM Eng,manual_picklist,,0,0.0,4.2,16.5,SLA_FIELD_SYNC_ISSUE_P2,24,2024-04-12 14:02:00,1,0,0
TICK_000023,2024-02-20 00:12:00,2024-02-22 02:48:00,quote_order_issue,P3,sales_manager,Sales Ops,Order Ops,manual_picklist,,1,3.3,5.4,50.6,SLA_QUOTE_ORDER_ISSUE_P3,72,2024-02-23 00:12:00,1,0,0
